Track Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Jessie's Girl,0.727,0.834,2,-5.851,1,0.0496,0.165,0,0.105,0.816,131.7,Classic Rock
"Rock and Roll, Hoochie Koo",0.435,0.882,9,-8.996,0,0.0908,0.15,0.00837,0.0992,0.56,199.263,Classic Rock
Mississippi Queen,0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,139.714,Classic Rock
Fortunate Son,0.634,0.762,0,-3.917,1,0.0393,0.0562,0.244,0.192,0.427,132.539,Classic Rock
Cat Scratch Fever,0.549,0.916,4,-4.185,0,0.034,0.0049,0.123,0.104,0.632,127.131,Classic Rock
Knockin' On Heaven's Door,0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,Classic Rock
Honky Tonk Women,0.558,0.683,7,-9.868,1,0.0585,0.353,0.0171,0.111,0.966,120.169,Classic Rock
"American Woman - 7"" Single Version",0.538,0.841,9,-7.547,1,0.0375,0.0424,0.00178,0.312,0.881,93.077,Classic Rock
Innocence,0.681,0.752,2,-10.28,1,0.028,0.016,2.14E-05,0.222,0.891,125.495,Classic Rock
Starman - Single Mix,0.307,0.429,5,-11.054,1,0.0333,0.211,0,0.391,0.582,199.787,Classic Rock
Wish You Were Here,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,Classic Rock
Separate Ways (Worlds Apart),0.451,0.962,0,-3.947,1,0.0734,0.0188,3.17E-06,0.277,0.377,131.435,Classic Rock
The Boys Are Back In Town,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,Classic Rock
Shine On Me,0.404,0.492,8,-9.669,0,0.0284,0.0295,0.311,0.129,0.23,129.969,Classic Rock
Rock You Like a Hurricane - 2011,0.584,0.833,11,-5.824,1,0.0358,0.000265,0.00595,0.32,0.671,124.018,Classic Rock
Join Me - Razorblade Mix,0.637,0.673,8,-6.966,0,0.0297,0.0164,2.35E-05,0.115,0.588,113.795,Classic Rock
Doesn't Really Matter - Remastered,0.662,0.854,1,-2.934,0,0.0509,0.0416,0.000886,0.757,0.723,144.737,Classic Rock
Breaking the Law,0.362,0.959,2,-5.653,1,0.0882,0.0249,7.88E-06,0.0694,0.506,164.013,Classic Rock
The Joker,0.596,0.448,5,-9.616,1,0.0396,0.365,5.30E-06,0.206,0.796,83.293,Classic Rock
Kodachrome,0.592,0.705,1,-10.276,0,0.0287,0.0291,1.97E-05,0.0456,0.902,135.754,Classic Rock
Band On The Run - 2010 Remaster,0.479,0.601,7,-8.806,1,0.0318,0.0832,0.00142,0.11,0.669,124.966,Classic Rock
Old Time Rock & Roll,0.714,0.937,6,-2.947,1,0.0399,0.206,0,0.0731,0.964,124.13,Classic Rock
Turn! Turn! Turn! (To Everything There Is a Season),0.449,0.811,2,-8.17,1,0.0458,0.117,2.28E-05,0.0393,0.736,124.594,Classic Rock
Hard To Handle,0.605,0.796,4,-3.618,1,0.0421,0.00286,0.000541,0.279,0.961,103.671,Classic Rock
Because the Night,0.442,0.793,11,-5.378,0,0.0354,0.0557,0,0.0934,0.547,123.67,Classic Rock
Black Betty,0.465,0.907,11,-6.404,0,0.113,0.0241,0.00118,0.13,0.681,117.293,Classic Rock
Turn Me Loose,0.588,0.641,5,-12.205,1,0.0312,0.0841,0.000663,0.303,0.548,119.374,Classic Rock
Born to Run,0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05E-05,0.116,0.606,146.347,Classic Rock
Oye Como Va,0.736,0.379,7,-13.208,1,0.0539,0.301,0.345,0.104,0.948,128.399,Classic Rock
Sharp Dressed Man - 2008 Remaster,0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,Classic Rock
Poison,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85E-06,0.18,0.26,118.698,Classic Rock
Last Nite,0.624,0.899,0,-5.709,1,0.0296,0.0221,0.000137,0.0975,0.79,104.061,Classic Rock
Dead Leaves and the Dirty Ground,0.281,0.515,9,-7.406,0,0.0317,0.46,1.72E-06,0.0896,0.525,79.299,Classic Rock
Money,0.468,0.536,11,-10.422,0,0.144,0.024,0.00199,0.269,0.785,126.256,Classic Rock
Runnin' With The Devil,0.432,0.88,1,-5.769,0,0.0656,0.0206,0.000191,0.185,0.527,95.59,Classic Rock
I Wouldn't Want to Be Like You,0.69,0.647,5,-8.319,0,0.0484,0.507,9.50E-06,0.118,0.3,100.745,Classic Rock
Cherry Pie,0.472,0.946,2,-4.591,1,0.145,0.0372,0,0.352,0.486,177.489,Classic Rock
Mary Had a Little Lamb,0.678,0.493,8,-13.782,1,0.0302,0.0882,0.153,0.264,0.914,122.627,Classic Rock
Living After Midnight,0.61,0.824,4,-6.046,1,0.0534,0.0136,1.75E-06,0.0606,0.819,134.992,Classic Rock
Stairway to Heaven - 1990 Remaster,0.346,0.335,7,-12.453,1,0.0339,0.575,0.00674,0.185,0.213,84.204,Classic Rock
They Say I'm Different,0.537,0.791,6,-7.051,1,0.145,0.122,3.03E-05,0.205,0.889,142.354,Funk Rock
Tobacco Road,0.754,0.771,9,-7.452,0,0.291,0.336,0.00028,0.1,0.811,88.105,Funk Rock
Always On The Run,0.512,0.946,9,-3.756,1,0.148,0.0119,0.0191,0.0646,0.85,169.222,Funk Rock
Summer Romance (Anti-Gravity Love Song),0.667,0.721,7,-7.17,1,0.0329,0.00915,0.0137,0.105,0.567,110.094,Funk Rock
Suck My Kiss,0.623,0.936,0,-9.955,1,0.0528,0.000617,9.86E-05,0.269,0.705,101.514,Funk Rock
Who Knows - Live At The Fillmore East,0.571,0.631,11,-10.352,1,0.0399,0.0147,0.751,0.204,0.713,84.71,Funk Rock
Bombtrack,0.478,0.855,4,-7.438,0,0.121,0.0134,3.18E-05,0.179,0.668,151.93,Funk Rock
Violent & Funky,0.477,0.899,2,-6.06,1,0.122,0.000241,0.000147,0.0598,0.555,104.821,Funk Rock
Cannibals,0.626,0.827,2,-5.144,1,0.0387,0.00158,2.90E-06,0.0475,0.84,139.997,Funk Rock
Soap On A Rope,0.394,0.912,2,-4.277,1,0.0978,0.000878,0.000647,0.128,0.418,88.375,Funk Rock
